bank_id,time,equity,assets,liabilities,reserves,shock_flag,distress_level,default_status,state
B63,0,161.99,501.33,339.34,81.65,0,0.0,0,U
B64,0,88.26,1115.21,1026.96,36.15,0,0.0,0,U
B65,0,105.31,1359.34,1254.04,67.22,0,0.0,0,U
B66,0,116.06,1397.83,1281.76,60.75,0,0.0,0,U
B0,1,44.61,923.02,878.41,55.71,0,0.0,0,U
B1,1,70.22,930.04,859.83,48.83,0,0.0,0,U
B2,1,144.71,622.73,478.03,74.11,0,0.0,0,U
B3,1,125.86,857.75,731.89,39.33,0,0.0,0,U
B4,1,82.93,1470.93,1388.0,69.16,0,0.0,0,U
B5,1,174.13,1027.29,853.16,49.18,0,0.0,0,U
B6,1,120.85,1082.82,961.97,83.44,0,0.0,0,U
B7,1,68.6,687.38,618.77,64.75,0,0.0,0,U
B8,1,159.08,788.46,629.38,62.33,0,0.0,0,U
B9,1,172.75,1230.34,1057.59,78.34,0,0.0,0,U
B10,1,182.48,922.24,739.76,90.12,0,0.0,0,U
B11,1,169.73,500.49,330.76,21.7,0,0.0,0,U
B12,1,49.83,1124.12,1074.3,59.2,0,0.0,0,U
B13,1,188.84,871.21,682.37,65.58,0,0.0,0,U
B14,1,57.53,815.85,758.32,61.81,0,0.0,0,U
B15,1,124.07,964.37,840.3,45.71,0,0.0,0,U
B16,1,144.19,839.44,695.24,69.03,0,0.0,0,U
B17,1,184.57,720.8,536.23,89.01,0,0.0,0,U
B18,1,147.38,856.92,709.54,28.49,0,0.0,0,U
B19,1,185.21,847.27,662.06,58.86,0,0.0,0,U
B20,1,93.17,773.44,680.27,31.2,0,0.0,0,U
B21,1,138.81,921.14,782.33,46.62,0,0.0,0,U
B22,1,153.43,528.08,374.65,52.59,0,0.0,0,U
B23,1,193.61,628.55,434.94,33.56,0,0.0,0,U
B24,1,94.21,1201.68,1107.47,69.7,0,0.0,0,U
B25,1,146.44,517.4,370.96,49.23,0,0.0,0,U
B26,1,181.31,671.92,490.61,68.25,0,0.0,0,U
B27,1,181.12,611.79,430.67,43.29,0,0.0,0,U
B28,1,165.15,1009.84,844.69,42.26,0,0.0,0,U
B29,1,158.96,564.98,406.02,48.95,0,0.0,0,U
B30,1,66.69,1416.85,1350.17,21.89,0,0.0,0,U
B31,1,72.2,645.58,573.38,31.16,0,0.0,0,U
B32,1,193.47,661.68,468.2,59.76,0,0.0,0,U
B33,1,81.39,1459.12,1377.73,29.23,0,0.0,0,U
B34,1,97.07,630.51,533.44,87.18,0,0.0,0,U
B35,1,58.48,1105.02,1046.53,59.18,0,0.0,0,U
B36,1,136.36,1381.75,1245.39,96.27,0,0.0,0,U
B37,1,83.11,776.11,693.0,99.94,0,0.0,0,U
B38,1,178.61,715.94,537.32,51.76,0,0.0,0,U
B39,1,103.38,781.65,678.27,83.21,0,0.0,0,U
B40,1,80.37,870.73,790.36,78.88,0,0.0,0,U
B41,1,104.02,688.36,584.35,35.45,0,0.0,0,U
B42,1,63.63,1486.94,1423.31,42.19,0,0.0,0,U
B43,1,143.29,980.96,837.67,23.55,0,0.0,0,U
B44,1,82.67,630.19,547.53,60.9,0,0.0,0,U
B45,1,69.36,881.15,811.79,75.17,0,0.0,0,U
B46,1,100.09,885.26,785.17,45.39,0,0.0,0,U
B47,1,124.96,1089.59,964.63,88.47,0,0.0,0,U
B48,1,94.18,527.41,433.24,58.84,0,0.0,0,U
B49,1,126.32,515.38,389.06,41.72,0,0.0,0,U
B50,1,40.35,1009.23,968.88,63.24,0,0.0,0,U
B51,1,190.66,530.32,339.65,93.35,0,0.0,0,U
B52,1,105.49,581.09,475.6,50.28,0,0.0,0,U
B53,1,71.61,1353.14,1281.54,91.67,0,0.0,0,U
B54,1,165.43,824.66,659.23,66.97,0,0.0,0,U
B55,1,193.18,1479.75,1286.58,82.34,0,0.0,0,U
B56,1,146.55,954.74,808.19,33.28,0,0.0,0,U
B57,1,167.12,922.13,755.02,34.57,0,0.0,0,U
B58,1,140.42,522.27,381.84,95.44,0,0.0,0,U
B59,1,57.04,764.53,707.49,34.76,0,0.0,0,U
B60,1,140.08,1228.57,1088.5,99.01,0,0.0,0,U
B61,1,55.58,1220.12,1164.54,59.42,0,0.0,0,U
B62,1,163.53,607.31,443.78,63.66,0,0.0,0,U
B63,1,85.06,635.56,550.5,94.85,0,0.0,0,U
B64,1,103.68,954.28,850.6,58.85,0,0.0,0,U
B65,1,60.21,665.66,605.45,23.91,0,0.0,0,U
B66,1,122.36,934.94,812.58,62.05,0,0.0,0,U
B0,2,142.11,1070.94,928.83,42.61,0,0.0,0,U
B1,2,113.18,707.53,594.34,66.64,0,0.0,0,U
B2,2,71.48,1385.01,1313.54,94.16,0,0.0,0,U
B3,2,123.28,1217.28,1094.01,20.5,0,0.0,0,U
B4,2,142.98,513.55,370.57,90.03,0,0.0,0,U
B5,2,108.65,692.34,583.7,99.84,0,0.0,0,U
B6,2,165.25,516.95,351.71,80.31,0,0.0,0,U
B7,2,125.09,701.01,575.92,80.52,0,0.0,0,U
B8,2,60.79,663.25,602.46,84.5,0,0.0,0,U
B9,2,65.1,985.6,920.5,27.74,0,0.0,0,U
B10,2,117.21,668.85,551.64,88.49,0,0.0,0,U
B11,2,96.12,1243.84,1147.72,66.18,0,0.0,0,U
B12,2,84.98,867.18,782.2,29.57,0,0.0,0,U
B13,2,116.47,1437.4,1320.93,57.4,0,0.0,0,U
B14,2,58.56,1022.81,964.25,83.21,0,0.0,0,U
B15,2,120.13,737.3,617.16,21.08,0,0.0,0,U
B16,2,70.43,1394.31,1323.87,46.67,0,0.0,0,U
B17,2,134.72,1044.62,909.9,87.19,0,0.0,0,U
B18,2,70.38,925.43,855.05,88.82,0,0.0,0,U
B19,2,131.33,1029.49,898.16,74.38,0,0.0,0,U
B20,2,57.96,648.99,591.03,59.11,0,0.0,0,U
B21,2,91.94,740.09,648.15,78.25,0,0.0,0,U
B22,2,178.53,1155.23,976.69,88.6,0,0.0,0,U
B23,2,182.82,1316.62,1133.8,22.44,0,0.0,0,U
B24,2,155.74,690.63,534.9,89.97,0,0.0,0,U
B25,2,147.89,565.48,417.59,50.17,0,0.0,0,U
B26,2,77.22,822.54,745.32,81.24,0,0.0,0,U
B27,2,113.97,1281.7,1167.74,32.96,0,0.0,0,U
B28,2,175.5,609.07,433.58,48.17,0,0.0,0,U
B29,2,118.93,583.92,465.0,29.94,0,0.0,0,U
B30,2,89.74,556.65,466.91,20.0,0,0.0,0,U
B31,2,131.22,969.69,838.48,51.51,0,0.0,0,U
B32,2,79.17,1261.63,1182.46,34.94,0,0.0,0,U
B33,2,171.32,558.3,386.98,88.32,0,0.0,0,U
B34,2,174.01,1240.9,1066.89,65.73,0,0.0,0,U
B35,2,106.44,569.54,463.1,89.24,0,0.0,0,U
B36,2,161.48,1042.81,881.33,65.32,0,0.0,0,U
B37,2,81.15,939.3,858.15,23.06,0,0.0,0,U
B38,2,184.82,1263.76,1078.93,53.99,0,0.0,0,U
B39,2,153.68,1397.69,1244.01,28.28,0,0.0,0,U
B40,2,186.06,1338.33,1152.27,52.24,0,0.0,0,U
B41,2,118.12,662.45,544.33,28.22,0,0.0,0,U
B42,2,178.73,535.48,356.75,28.7,0,0.0,0,U
B43,2,52.9,1120.74,1067.84,39.15,0,0.0,0,U
B44,2,187.34,549.15,361.81,71.3,0,0.0,0,U
B45,2,92.16,1055.13,962.98,53.0,0,0.0,0,U
B46,2,121.98,926.54,804.55,95.31,0,0.0,0,U
B47,2,148.6,1279.9,1131.29,69.93,0,0.0,0,U
B48,2,79.07,1201.87,1122.8,93.35,0,0.0,0,U
B49,2,86.11,852.82,766.71,59.39,0,0.0,0,U
B50,2,119.1,1120.71,1001.61,52.48,0,0.0,0,U
B51,2,193.82,679.67,485.85,32.09,0,0.0,0,U
B52,2,129.61,524.47,394.87,94.99,0,0.0,0,U
B53,2,158.86,936.35,777.49,99.88,0,0.0,0,U
B54,2,108.56,820.57,712.02,44.4,0,0.0,0,U
B55,2,73.64,1075.56,1001.92,88.36,0,0.0,0,U
B56,2,141.27,1450.49,1309.22,79.27,0,0.0,0,U
B57,2,112.73,533.69,420.96,75.81,0,0.0,0,U
B58,2,95.33,767.11,671.78,51.46,0,0.0,0,U
B59,2,63.09,1288.29,1225.2,47.35,0,0.0,0,U
B60,2,43.93,903.25,859.32,47.1,0,0.0,0,U
B61,2,178.85,890.81,711.97,27.96,0,0.0,0,U
B62,2,159.83,839.04,679.21,64.04,0,0.0,0,U
B63,2,111.52,1136.87,1025.34,31.18,0,0.0,0,U
B64,2,68.26,1109.22,1040.96,46.3,0,0.0,0,U
B65,2,154.14,1162.44,1008.3,87.91,0,0.0,0,U
B66,2,142.35,1313.9,1171.55,99.18,0,0.0,0,U
B0,3,131.33,985.78,854.45,49.05,0,0.0,0,U
B1,3,115.33,950.28,834.95,86.18,0,0.0,0,U
B2,3,97.23,762.52,665.29,70.13,0,0.0,0,U
B3,3,118.02,914.39,796.36,68.95,0,0.0,0,U
B4,3,107.5,787.76,680.25,35.0,0,0.0,0,U
B5,3,90.26,681.3,591.04,74.06,0,0.0,0,U
B6,3,169.97,1202.58,1032.61,66.15,0,0.0,0,U
B7,3,168.89,727.06,558.17,42.76,0,0.0,0,U
B8,3,147.29,1085.95,938.67,27.44,0,0.0,0,U
B9,3,45.75,1441.96,1396.21,55.99,0,0.0,0,U
B10,3,193.52,985.36,791.84,64.98,0,0.0,0,U
B11,3,173.26,1068.1,894.85,30.5,0,0.0,0,U
B12,3,74.84,1400.27,1325.43,59.84,0,0.0,0,U
B13,3,197.84,1335.08,1137.24,61.14,0,0.0,0,U
B14,3,83.95,1178.39,1094.44,46.77,0,0.0,0,U
B15,3,59.57,1184.79,1125.21,48.7,0,0.0,0,U
B16,3,102.75,1401.65,1298.9,92.99,0,0.0,0,U
B17,3,176.98,1338.39,1161.41,68.27,0,0.0,0,U
B18,3,42.36,828.24,785.88,81.46,0,0.0,0,U
B19,3,44.17,523.9,479.74,89.81,0,0.0,0,U
B20,3,99.7,1413.52,1313.82,48.63,0,0.0,0,U
B21,3,49.65,1209.31,1159.66,33.1,0,0.0,0,U
B22,3,111.67,624.97,513.3,54.39,0,0.0,0,U
B23,3,107.66,1497.78,1390.12,20.8,0,0.0,0,U
B24,3,99.32,1188.78,1089.47,47.88,0,0.0,0,U
B25,3,84.88,1206.77,1121.89,63.93,0,0.0,0,U
B26,3,141.85,728.97,587.13,63.74,0,0.0,0,U
B27,3,44.18,1202.06,1157.88,50.62,0,0.0,0,U
B28,3,161.59,686.97,525.39,84.2,0,0.0,0,U
B29,3,117.59,569.04,451.44,68.22,0,0.0,0,U
B30,3,141.93,1407.25,1265.32,32.57,0,0.0,0,U
B31,3,88.13,1057.94,969.81,35.76,0,0.0,0,U
B32,3,172.55,1184.89,1012.35,50.42,0,0.0,0,U
B33,3,82.5,1172.85,1090.36,67.56,0,0.0,0,U
B34,3,152.01,1293.22,1141.21,58.21,0,0.0,0,U
B35,3,119.55,734.3,614.76,91.73,0,0.0,0,U
B36,3,77.63,1025.02,947.39,50.71,0,0.0,0,U
B37,3,70.22,1326.27,1256.05,46.73,0,0.0,0,U
B38,3,136.1,1141.13,1005.03,44.22,0,0.0,0,U
B39,3,71.35,539.17,467.82,97.61,0,0.0,0,U
B40,3,121.51,1351.86,1230.35,29.48,0,0.0,0,U
B41,3,154.71,1299.12,1144.41,48.5,0,0.0,0,U
B42,3,193.29,786.75,593.46,65.1,0,0.0,0,U
B43,3,66.32,1213.43,1147.11,85.71,0,0.0,0,U
B44,3,67.3,897.45,830.16,54.1,0,0.0,0,U
B45,3,139.15,1455.31,1316.17,22.52,0,0.0,0,U
B46,3,66.86,813.09,746.23,79.99,0,0.0,0,U
B47,3,157.14,957.28,800.15,46.84,0,0.0,0,U
B48,3,111.31,1105.73,994.42,28.68,0,0.0,0,U
B49,3,66.76,1326.72,1259.96,66.1,0,0.0,0,U
B50,3,90.04,994.23,904.19,46.27,0,0.0,0,U
B51,3,100.95,1323.6,1222.65,40.17,0,0.0,0,U
B52,3,155.53,901.04,745.51,23.91,0,0.0,0,U
B53,3,173.2,1013.62,840.42,90.68,0,0.0,0,U
B54,3,100.37,1300.02,1199.65,49.97,0,0.0,0,U
B55,3,123.15,780.06,656.9,79.23,0,0.0,0,U
B56,3,199.03,548.78,349.76,91.75,0,0.0,0,U
B57,3,87.96,1147.53,1059.57,82.21,0,0.0,0,U
B58,3,119.73,1318.34,1198.62,73.3,0,0.0,0,U
B59,3,138.96,1413.78,1274.82,96.41,0,0.0,0,U
B60,3,90.35,1495.36,1405.0,94.49,0,0.0,0,U
B61,3,185.39,1323.67,1138.28,69.51,0,0.0,0,U
B62,3,94.51,1301.49,1206.98,37.29,0,0.0,0,U
B63,3,123.99,1032.63,908.65,44.95,0,0.0,0,U
B64,3,98.82,884.74,785.92,98.19,0,0.0,0,U
B65,3,133.76,617.69,483.93,52.9,0,0.0,0,U
B66,3,46.46,1285.21,1238.75,89.51,0,0.0,0,U
B0,4,152.46,932.68,780.22,21.89,0,0.0,0,U
B1,4,142.46,1353.33,1210.87,57.54,0,0.0,0,U
B2,4,45.17,1296.75,1251.58,55.88,0,0.0,0,U
B3,4,54.7,1453.84,1399.14,38.47,0,0.0,0,U
B4,4,97.1,928.65,831.55,29.72,0,0.0,0,U
B5,4,178.72,1047.21,868.49,37.26,0,0.0,0,U
B6,4,133.03,1027.02,893.99,72.24,0,0.0,0,U
B7,4,109.85,968.2,858.35,30.8,0,0.0,0,U
B8,4,159.61,669.77,510.16,95.07,0,0.0,0,U
B9,4,70.89,825.46,754.57,73.84,0,0.0,0,U
B10,4,95.29,1305.85,1210.56,33.38,0,0.0,0,U
B11,4,53.3,1281.57,1228.27,72.23,0,0.0,0,U
B12,4,91.34,1223.28,1131.94,48.1,0,0.0,0,U
B13,4,53.51,1454.18,1400.67,43.92,0,0.0,0,U
B14,4,149.11,907.99,758.87,51.16,0,0.0,0,U
B15,4,125.01,1211.31,1086.3,96.92,0,0.0,0,U
B16,4,181.56,515.08,333.52,98.74,0,0.0,0,U
B17,4,99.61,1224.39,1124.78,92.88,0,0.0,0,U
B18,4,116.69,781.6,664.91,27.8,0,0.0,0,U
B19,4,68.53,532.65,464.12,75.52,0,0.0,0,U
B20,4,175.29,1295.13,1119.84,40.93,0,0.0,0,U
B21,4,146.88,690.52,543.64,69.49,0,0.0,0,U
B22,4,175.32,1492.11,1316.79,91.29,0,0.0,0,U
B23,4,61.07,1191.16,1130.09,60.97,0,0.0,0,U
B24,4,78.17,719.66,641.49,67.06,0,0.0,0,U
B25,4,125.8,1441.37,1315.56,23.27,0,0.0,0,U
B26,4,156.94,1347.77,1190.83,94.25,0,0.0,0,U
B27,4,132.44,1252.9,1120.46,44.84,0,0.0,0,U
B28,4,72.83,1264.0,1191.17,39.65,0,0.0,0,U
B29,4,151.12,1045.64,894.52,66.41,0,0.0,0,U
B30,4,136.07,748.49,612.41,49.37,0,0.0,0,U
B31,4,93.03,1170.04,1077.01,83.16,0,0.0,0,U
B32,4,73.43,999.45,926.03,50.64,0,0.0,0,U
B33,4,173.55,528.83,355.28,95.31,0,0.0,0,U
B34,4,185.07,1199.33,1014.26,22.52,0,0.0,0,U
B35,4,52.9,590.85,537.95,77.33,0,0.0,0,U
B36,4,170.76,1488.86,1318.1,39.81,0,0.0,0,U
B37,4,54.45,721.73,667.28,86.18,0,0.0,0,U
B38,4,162.64,1152.3,989.66,29.06,0,0.0,0,U
B39,4,147.11,1222.38,1075.27,44.77,0,0.0,0,U
B40,4,146.27,684.36,538.09,76.16,0,0.0,0,U
B41,4,106.89,1213.82,1106.92,52.26,0,0.0,0,U
B42,4,146.15,561.74,415.58,86.78,0,0.0,0,U
B43,4,141.29,927.07,785.78,37.34,0,0.0,0,U
B44,4,71.91,824.16,752.25,99.32,0,0.0,0,U
B45,4,182.48,636.19,453.71,68.27,0,0.0,0,U
B46,4,61.27,772.65,711.37,58.8,0,0.0,0,U
B47,4,79.97,1347.07,1267.09,69.49,0,0.0,0,U
B48,4,146.78,778.81,632.03,35.85,0,0.0,0,U
B49,4,123.75,1150.92,1027.17,28.48,0,0.0,0,U
B50,4,120.76,1258.48,1137.72,37.08,0,0.0,0,U
B51,4,103.85,778.7,674.85,53.4,0,0.0,0,U
B52,4,46.1,1295.52,1249.42,85.99,0,0.0,0,U
B53,4,106.07,1113.75,1007.68,40.02,0,0.0,0,U
B54,4,72.75,641.3,568.55,82.69,0,0.0,0,U
B55,4,177.41,1361.4,1183.99,71.76,0,0.0,0,U
B56,4,75.09,632.88,557.79,95.15,0,0.0,0,U
B57,4,179.05,1214.68,1035.63,82.17,0,0.0,0,U
B58,4,115.13,856.01,740.89,39.94,0,0.0,0,U
B59,4,85.56,538.52,452.96,77.91,0,0.0,0,U
B60,4,192.62,1337.79,1145.18,77.35,0,0.0,0,U
B61,4,61.51,1100.2,1038.69,99.66,0,0.0,0,U
B62,4,116.85,747.0,630.15,41.76,0,0.0,0,U
B63,4,130.08,592.78,462.7,23.51,0,0.0,0,U
B64,4,50.49,779.4,728.91,31.75,0,0.0,0,U
B65,4,182.59,821.84,639.25,71.45,0,0.0,0,U
B66,4,139.26,1296.49,1157.23,29.57,0,0.0,0,U
B0,5,138.11,1215.03,1076.92,88.74,0,0.0,0,U
B1,5,83.13,817.87,734.74,40.86,0,0.0,0,U
B2,5,94.28,921.8,827.52,89.36,0,0.0,0,U
B3,5,45.68,1230.45,1184.77,81.57,0,0.0,0,U
B4,5,133.39,1153.97,1020.58,80.76,0,0.0,0,U
B5,5,130.36,1376.07,1245.71,32.36,0,0.0,0,U
B6,5,146.37,1404.84,1258.47,30.81,0,0.0,0,U
B7,5,59.8,1088.69,1028.89,50.61,0,0.0,0,U
B8,5,161.91,1053.56,891.65,40.46,0,0.0,0,U
B9,5,194.69,676.02,481.33,98.19,0,0.0,0,U
B10,5,181.85,713.03,531.18,97.72,0,0.0,0,U
B11,5,108.97,1368.64,1259.67,69.65,0,0.0,0,U
B12,5,92.25,969.36,877.11,34.37,0,0.0,0,U
B13,5,169.03,1263.35,1094.32,69.37,0,0.0,0,U
B14,5,93.36,1226.24,1132.88,67.69,0,0.0,0,U
B15,5,186.91,1376.22,1189.31,72.13,0,0.0,0,U
B16,5,196.93,1151.36,954.43,81.4,0,0.0,0,U
B17,5,187.2,1199.98,1012.78,65.91,0,0.0,0,U
B18,5,141.52,1347.78,1206.26,96.81,0,0.0,0,U
B19,5,132.39,1440.53,1308.14,63.64,0,0.0,0,U
B20,5,67.66,644.37,576.71,46.88,0,0.0,0,U
B21,5,108.62,861.95,753.33,67.3,0,0.0,0,U
B22,5,169.54,752.83,583.29,41.47,0,0.0,0,U
B23,5,71.17,1050.01,978.84,52.13,0,0.0,0,U
B24,5,121.79,953.63,831.84,22.19,0,0.0,0,U
B25,5,168.9,1480.36,1311.46,61.68,0,0.0,0,U
B26,5,184.95,862.35,677.4,64.65,0,0.0,0,U
B27,5,154.21,538.25,384.04,93.09,0,0.0,0,U
B28,5,113.73,845.34,731.61,84.02,0,0.0,0,U
B29,5,76.4,1167.6,1091.21,63.43,0,0.0,0,U
B30,5,151.8,729.6,577.8,96.97,0,0.0,0,U
B31,5,198.52,846.65,648.13,85.01,0,0.0,0,U
B32,5,133.99,545.19,411.2,36.78,0,0.0,0,U
B33,5,173.23,539.7,366.47,43.47,0,0.0,0,U
B34,5,174.52,715.16,540.63,66.49,0,0.0,0,U
B35,5,180.46,638.27,457.81,54.78,0,0.0,0,U
B36,5,147.91,591.38,443.47,24.13,0,0.0,0,U
B37,5,146.25,1437.36,1291.1,63.83,0,0.0,0,U
B38,5,84.4,830.03,745.63,73.99,0,0.0,0,U
B39,5,184.01,770.34,586.33,43.72,0,0.0,0,U
B40,5,56.1,726.34,670.24,62.89,0,0.0,0,U
B41,5,91.4,787.6,696.2,34.54,0,0.0,0,U
B42,5,134.88,907.34,772.46,81.7,0,0.0,0,U
B43,5,181.74,1298.46,1116.71,62.99,0,0.0,0,U
B44,5,73.24,791.51,718.27,61.21,0,0.0,0,U
B45,5,57.9,756.45,698.55,25.47,0,0.0,0,U
B46,5,187.0,1233.86,1046.86,41.07,0,0.0,0,U
B47,5,94.67,660.21,565.54,36.28,0,0.0,0,U
B48,5,198.74,548.99,350.26,82.18,0,0.0,0,U
B49,5,87.89,1084.27,996.39,63.28,0,0.0,0,U
B50,5,53.67,1130.99,1077.32,94.04,0,0.0,0,U
B51,5,142.01,1226.52,1084.51,81.64,0,0.0,0,U
B52,5,176.6,830.72,654.12,88.5,0,0.0,0,U
B53,5,97.57,752.75,655.18,78.7,0,0.0,0,U
B54,5,188.78,1155.31,966.53,72.56,0,0.0,0,U
B55,5,126.89,1486.64,1359.74,84.91,0,0.0,0,U
B56,5,62.54,1472.11,1409.57,36.72,0,0.0,0,U
B57,5,138.31,664.51,526.19,27.76,0,0.0,0,U
B58,5,192.48,699.9,507.42,81.17,0,0.0,0,U
B59,5,44.02,962.35,918.33,41.52,0,0.0,0,U
B60,5,168.18,958.12,789.94,63.15,0,0.0,0,U
B61,5,134.37,1283.08,1148.72,89.66,0,0.0,0,U
B62,5,119.04,546.4,427.36,31.55,0,0.0,0,U
B63,5,134.73,1260.68,1125.96,56.41,0,0.0,0,U
B64,5,183.42,888.72,705.29,51.74,0,0.0,0,U
B65,5,177.24,557.59,380.35,89.39,0,0.0,0,U
B66,5,55.63,935.59,879.97,37.35,0,0.0,0,U
