time,source,target,exposure,interest_rate,maturity
0,B5,B59,16.5,0.0462,30
0,B5,B60,18.27,0.0412,30
0,B5,B63,41.6,0.0189,180
0,B5,B64,34.92,0.0284,14
0,B6,B25,44.95,0.0371,180
0,B6,B36,40.99,0.0264,180
0,B6,B39,40.95,0.0143,14
0,B6,B41,10.61,0.0127,7
0,B6,B46,20.16,0.0404,90
0,B6,B50,48.31,0.0492,7
0,B6,B57,30.63,0.0176,180
0,B7,B10,8.55,0.0367,7
0,B7,B15,12.12,0.018,90
0,B7,B20,25.03,0.022,30
0,B7,B22,24.19,0.0353,180
0,B7,B32,12.49,0.0477,90
0,B7,B36,19.7,0.0392,90
0,B7,B40,19.57,0.0464,30
0,B7,B52,31.84,0.0328,90
0,B7,B54,11.71,0.0335,14
0,B7,B62,24.6,0.0307,7
0,B8,B3,5.91,0.0381,7
0,B8,B12,8.46,0.0113,14
0,B8,B33,48.76,0.0442,7
0,B8,B53,14.31,0.0168,90
0,B8,B58,8.01,0.0402,90
0,B8,B59,23.58,0.0191,14
0,B9,B5,24.39,0.041,14
0,B9,B11,40.02,0.0375,180
0,B9,B16,46.93,0.0126,14
0,B9,B26,42.32,0.0168,14
0,B9,B37,12.73,0.0175,90
0,B9,B49,20.49,0.0356,30
0,B9,B51,16.7,0.0377,180
0,B9,B52,10.9,0.0402,7
0,B9,B61,11.46,0.0118,7
0,B10,B5,38.78,0.0391,7
0,B10,B27,21.22,0.0325,90
0,B10,B32,44.93,0.0484,180
0,B10,B33,20.67,0.0185,90
0,B10,B39,13.85,0.0183,30
0,B10,B47,16.48,0.0368,30
0,B10,B48,49.66,0.028,180
0,B10,B52,27.15,0.0111,180
0,B11,B8,5.56,0.0429,14
0,B11,B10,14.28,0.0284,180
0,B11,B13,23.49,0.0391,180
0,B11,B28,36.89,0.0439,7
0,B11,B29,6.56,0.0315,30
0,B11,B39,10.1,0.0138,14
0,B11,B41,47.53,0.0161,14
0,B11,B53,8.16,0.0262,14
0,B11,B57,35.68,0.0446,90
0,B11,B63,31.27,0.0388,14
0,B11,B64,13.16,0.021,14
0,B11,B66,7.71,0.0491,90
0,B12,B1,10.3,0.0103,90
0,B12,B2,30.84,0.0312,90
0,B12,B5,39.37,0.0303,14
0,B12,B15,20.08,0.0346,180
0,B12,B21,21.32,0.0319,180
0,B12,B26,33.5,0.0309,180
0,B12,B28,29.17,0.0121,30
0,B12,B32,24.99,0.049,180
0,B12,B38,26.44,0.0188,30
0,B12,B46,29.32,0.0145,7
0,B12,B47,37.66,0.0475,14
0,B12,B50,27.14,0.0216,180
0,B12,B57,17.63,0.0294,7
0,B12,B65,8.81,0.0242,14
0,B13,B18,26.69,0.0212,90
0,B13,B19,45.36,0.0111,14
0,B13,B25,13.14,0.0158,7
0,B13,B38,6.56,0.036,7
0,B13,B42,18.9,0.0208,180
0,B13,B43,49.83,0.0427,7
0,B13,B53,40.74,0.0252,90
0,B13,B62,41.01,0.0371,90
0,B14,B5,5.57,0.0442,90
0,B14,B7,40.49,0.0129,90
0,B14,B10,46.81,0.025,7
0,B14,B19,7.2,0.031,14
0,B14,B30,35.08,0.016,30
0,B14,B35,12.84,0.0271,30
0,B14,B36,31.14,0.0336,180
0,B14,B44,8.71,0.0144,7
0,B14,B51,21.1,0.0482,7
0,B14,B54,38.16,0.0294,14
0,B14,B62,27.11,0.027,14
0,B14,B63,26.9,0.0266,90
0,B15,B2,13.43,0.0101,14
0,B15,B3,6.57,0.0438,30
0,B15,B10,34.25,0.0481,90
0,B15,B18,10.81,0.0129,90
0,B15,B21,31.99,0.0428,30
0,B16,B1,26.76,0.0315,7
0,B16,B2,7.36,0.0301,180
0,B16,B18,16.81,0.019,180
0,B16,B20,28.2,0.0202,180
0,B16,B23,18.14,0.0381,7
0,B16,B31,36.71,0.0375,180
0,B16,B34,39.62,0.026,30
0,B16,B40,18.59,0.0158,180
0,B16,B49,10.45,0.0304,90
0,B16,B59,39.16,0.0195,7
0,B16,B62,12.6,0.0305,180
0,B17,B3,38.33,0.0221,30
0,B17,B9,45.6,0.0478,14
0,B17,B11,17.99,0.018,7
0,B17,B16,26.73,0.0218,7
0,B17,B25,27.3,0.0212,180
0,B17,B40,41.96,0.0454,14
0,B17,B50,44.54,0.0247,14
0,B17,B55,48.96,0.0493,14
0,B18,B1,49.33,0.0244,7
0,B18,B6,48.13,0.0456,14
0,B18,B32,29.62,0.0263,180
0,B18,B42,47.91,0.0212,180
0,B18,B49,45.85,0.0338,14
0,B18,B51,35.61,0.0462,7
0,B18,B54,36.3,0.0379,7
0,B18,B55,49.54,0.0184,90
0,B19,B0,36.61,0.0261,7
0,B19,B2,38.96,0.0415,14
0,B19,B4,22.76,0.0479,90
0,B19,B9,6.25,0.0244,7
0,B19,B34,42.57,0.0229,180
0,B19,B36,5.72,0.0489,90
0,B19,B37,35.79,0.0461,30
0,B20,B11,21.24,0.046,30
0,B20,B26,46.14,0.015,180
0,B20,B33,22.58,0.0371,90
0,B20,B40,32.42,0.0237,30
0,B20,B41,43.81,0.0187,180
0,B20,B42,14.48,0.0205,30
0,B20,B43,39.38,0.041,14
0,B20,B44,18.93,0.0464,180
0,B20,B46,45.78,0.0281,30
0,B20,B58,38.6,0.0488,180
0,B21,B4,20.54,0.0273,14
0,B21,B6,5.98,0.0472,14
0,B21,B7,8.09,0.0329,30
0,B21,B10,40.7,0.0152,30
0,B21,B11,17.55,0.0361,180
0,B21,B15,18.58,0.0208,90
0,B21,B22,30.81,0.0413,90
0,B21,B34,36.04,0.0327,30
0,B21,B44,40.43,0.0127,90
0,B21,B46,38.05,0.0354,14
0,B21,B52,46.39,0.0223,180
0,B21,B55,25.97,0.0155,90
0,B21,B63,7.45,0.0181,14
0,B22,B0,40.17,0.0482,180
0,B22,B3,48.97,0.0453,30
0,B22,B11,19.82,0.029,7
0,B22,B40,30.33,0.0285,180
0,B22,B41,27.22,0.0149,14
0,B22,B42,8.44,0.019,30
0,B22,B49,46.5,0.0115,14
0,B22,B59,43.77,0.026,90
0,B22,B61,25.62,0.0199,180
0,B22,B66,37.6,0.0447,90
0,B23,B1,27.0,0.0394,90
0,B23,B3,13.0,0.0435,90
0,B23,B10,44.8,0.0292,14
0,B23,B12,28.66,0.0257,14
0,B23,B17,25.19,0.0346,90
0,B23,B19,22.14,0.0234,180
0,B23,B20,33.5,0.0426,90
0,B23,B28,14.46,0.0489,14
0,B23,B29,18.07,0.0359,14
0,B23,B39,32.65,0.0457,14
0,B23,B43,48.64,0.0479,30
0,B23,B45,38.5,0.0262,180
0,B23,B52,17.97,0.0486,30
0,B23,B63,7.48,0.0436,90
0,B24,B8,49.08,0.0455,90
0,B24,B13,27.82,0.0379,7
0,B24,B14,8.08,0.0157,180
0,B24,B16,10.31,0.0398,30
0,B24,B18,15.1,0.0293,7
0,B24,B20,6.3,0.0315,30
0,B24,B37,49.57,0.0366,7
0,B24,B42,38.89,0.0384,7
0,B24,B52,39.89,0.0425,30
0,B24,B55,36.45,0.0384,7
0,B24,B60,41.33,0.0215,14
0,B24,B61,40.47,0.0216,180
0,B24,B65,37.8,0.0423,90
0,B25,B10,36.48,0.0264,14
0,B25,B29,25.76,0.0338,14
0,B25,B31,47.18,0.0435,90
0,B25,B33,33.31,0.0307,180
0,B25,B35,18.0,0.0307,90
0,B25,B39,35.42,0.011,90
0,B25,B46,7.72,0.0237,14
0,B25,B48,20.74,0.0105,180
0,B25,B58,19.73,0.037,30
0,B25,B66,26.49,0.0199,7
0,B26,B16,49.09,0.0285,180
0,B26,B21,27.34,0.0325,14
0,B26,B22,29.11,0.0217,7
0,B26,B30,9.97,0.0292,90
0,B26,B35,6.77,0.0459,7
0,B26,B39,42.39,0.0155,14
0,B26,B40,25.23,0.0201,30
0,B26,B41,33.32,0.0169,30
0,B26,B55,28.83,0.0489,90
0,B26,B56,11.11,0.0136,30
0,B26,B61,34.96,0.0341,90
0,B26,B63,29.93,0.0432,90
0,B26,B66,47.56,0.0456,180
0,B27,B0,29.81,0.0431,180
0,B27,B6,42.58,0.0361,180
0,B27,B7,11.53,0.0463,90
0,B27,B15,44.9,0.0464,90
0,B27,B19,47.76,0.0246,180
0,B27,B26,29.58,0.0236,14
0,B27,B35,27.83,0.0201,30
0,B27,B47,18.59,0.0272,14
0,B27,B52,37.87,0.0417,90
0,B27,B54,6.37,0.0131,180
0,B27,B61,20.66,0.0346,7
0,B27,B63,7.15,0.0488,90
0,B27,B66,32.14,0.0225,14
0,B28,B25,19.89,0.0262,30
0,B28,B55,6.45,0.0456,180
0,B29,B0,39.73,0.0238,180
0,B29,B2,13.14,0.0444,7
0,B29,B11,46.02,0.0422,90
0,B29,B22,14.46,0.0463,90
0,B29,B24,19.61,0.045,14
0,B29,B25,16.49,0.036,30
0,B29,B34,20.29,0.0273,14
0,B29,B41,30.58,0.022,7
0,B29,B54,40.55,0.0455,30
0,B29,B55,42.11,0.0303,180
0,B29,B61,15.2,0.0121,180
0,B30,B5,27.16,0.0334,90
0,B30,B15,29.87,0.0331,14
0,B30,B16,45.86,0.0243,14
0,B30,B38,22.39,0.0126,180
0,B30,B49,22.05,0.018,7
0,B30,B56,39.26,0.048,7
0,B30,B63,6.01,0.0234,180
0,B30,B64,13.69,0.0319,14
0,B31,B10,10.75,0.0186,7
0,B31,B30,34.13,0.0217,90
0,B31,B32,48.5,0.0373,14
0,B31,B39,20.68,0.0428,90
0,B31,B40,45.0,0.0487,14
0,B31,B42,49.46,0.0289,30
0,B31,B43,18.98,0.04,90
0,B31,B44,8.29,0.0485,7
0,B31,B45,42.46,0.0195,90
0,B31,B49,28.64,0.0417,7
0,B31,B58,23.81,0.0382,14
0,B32,B2,34.8,0.0474,30
0,B32,B31,43.28,0.019,7
0,B32,B35,49.82,0.0307,7
0,B32,B39,37.0,0.0419,180
0,B32,B49,10.15,0.0107,30
0,B32,B55,22.66,0.0326,90
0,B33,B10,38.27,0.0172,30
0,B33,B18,20.28,0.0312,180
0,B33,B32,37.74,0.0367,7
0,B33,B37,23.98,0.0336,90
0,B33,B38,15.29,0.0361,7
0,B33,B42,37.62,0.0289,14
0,B33,B46,8.21,0.0338,14
0,B33,B51,6.35,0.037,14
0,B33,B60,9.68,0.0352,7
0,B33,B63,13.22,0.0188,180
0,B33,B66,21.39,0.0107,30
0,B34,B5,45.64,0.0378,180
0,B34,B6,40.74,0.0136,90
0,B34,B19,48.23,0.0196,90
0,B34,B24,15.22,0.0425,180
0,B34,B37,37.44,0.0434,90
0,B34,B43,7.82,0.0448,30
0,B34,B44,37.99,0.0353,7
0,B34,B47,12.68,0.0183,30
0,B34,B51,30.05,0.0225,7
0,B34,B53,19.98,0.0257,7
0,B34,B55,23.14,0.0319,90
0,B34,B56,49.54,0.0185,30
0,B34,B57,33.15,0.0102,30
0,B34,B60,24.65,0.0446,7
0,B35,B2,13.81,0.0152,90
0,B35,B15,20.71,0.0322,7
0,B35,B18,39.7,0.0118,14
0,B35,B21,13.1,0.0356,7
0,B35,B24,23.87,0.0102,7
0,B35,B27,9.51,0.0444,90
0,B35,B54,14.0,0.0123,90
0,B35,B56,15.04,0.0164,30
0,B35,B63,32.68,0.0399,30
0,B36,B24,21.95,0.0155,7
0,B36,B31,38.43,0.0208,90
0,B36,B35,24.84,0.0359,90
0,B36,B37,19.1,0.0498,180
0,B36,B51,17.99,0.0181,30
0,B36,B60,21.62,0.0197,30
0,B37,B3,31.43,0.0467,180
0,B37,B12,18.94,0.0459,90
0,B37,B17,21.5,0.04,180
0,B37,B21,40.97,0.0302,30
0,B37,B24,34.66,0.0487,7
0,B37,B29,44.81,0.0101,14
0,B37,B42,39.86,0.0354,180
0,B37,B52,17.25,0.0133,14
0,B37,B54,11.11,0.0259,180
0,B37,B55,41.21,0.033,7
0,B37,B64,14.39,0.0107,7
0,B38,B10,10.24,0.0306,30
0,B38,B14,32.16,0.0383,30
0,B38,B22,8.55,0.0208,14
0,B38,B35,28.76,0.0446,90
0,B38,B37,35.27,0.0444,14
0,B38,B39,31.38,0.0471,90
0,B38,B41,32.36,0.0204,180
0,B38,B44,12.65,0.0282,180
0,B38,B45,18.82,0.0196,180
0,B38,B49,14.06,0.0187,90
0,B38,B59,26.08,0.0139,90
0,B39,B3,40.76,0.0457,7
0,B39,B14,45.03,0.0373,14
0,B39,B24,32.1,0.0142,14
0,B39,B27,37.31,0.027,90
0,B39,B50,29.89,0.021,180
0,B39,B54,30.06,0.037,180
0,B39,B55,36.21,0.0276,7
0,B40,B1,13.41,0.0218,7
0,B40,B7,32.12,0.0286,7
0,B40,B8,5.53,0.038,90
0,B40,B9,31.78,0.0266,30
0,B40,B14,42.43,0.0424,7
0,B40,B19,24.13,0.0252,180
0,B40,B33,8.61,0.0232,180
0,B40,B42,24.95,0.0127,180
0,B40,B43,39.92,0.0428,14
0,B40,B60,41.09,0.0391,180
0,B40,B63,11.42,0.0377,90
0,B40,B64,48.5,0.025,14
0,B41,B1,37.53,0.0485,14
0,B41,B4,6.42,0.0219,180
0,B41,B15,45.57,0.0437,14
0,B41,B16,45.29,0.0355,7
0,B41,B23,13.38,0.0282,14
0,B41,B33,38.7,0.0274,180
0,B41,B36,13.69,0.0219,30
0,B41,B38,29.11,0.0204,90
0,B41,B43,43.95,0.0429,14
0,B41,B54,43.82,0.0414,90
0,B41,B59,10.92,0.0454,14
0,B41,B65,32.22,0.0462,7
0,B42,B3,34.14,0.0465,180
0,B42,B12,24.63,0.0453,90
0,B42,B28,42.15,0.0163,7
0,B42,B41,20.96,0.0395,180
0,B42,B48,10.06,0.0489,90
0,B42,B56,46.29,0.0298,7
0,B42,B65,14.12,0.0356,180
0,B43,B5,16.48,0.0341,7
0,B43,B11,28.93,0.0476,7
0,B43,B14,11.9,0.05,180
0,B43,B17,44.62,0.0272,14
0,B43,B22,29.82,0.0208,7
0,B43,B24,42.55,0.0326,90
0,B43,B25,27.56,0.033,90
0,B43,B38,31.78,0.0325,30
0,B43,B47,6.84,0.0257,7
0,B43,B55,8.54,0.0445,7
0,B44,B0,17.33,0.0387,7
0,B44,B7,31.11,0.0101,30
0,B44,B13,47.45,0.0445,90
0,B44,B30,48.99,0.0245,30
0,B44,B38,23.23,0.0435,14
0,B44,B46,27.86,0.0116,90
0,B44,B53,27.72,0.0197,180
0,B45,B10,22.14,0.0334,90
0,B45,B38,21.82,0.0309,30
0,B45,B43,18.63,0.0221,14
0,B45,B49,32.03,0.0171,90
0,B46,B24,42.39,0.0259,30
0,B46,B31,14.56,0.0265,14
0,B46,B53,24.52,0.0143,180
0,B47,B4,49.36,0.0242,30
0,B47,B7,8.04,0.0493,14
0,B47,B11,25.77,0.0299,30
0,B47,B21,32.29,0.0437,14
0,B47,B22,35.0,0.0331,7
0,B47,B23,41.81,0.0226,14
0,B47,B30,29.5,0.0159,180
0,B47,B31,6.63,0.0347,30
0,B47,B37,47.84,0.0423,180
0,B47,B41,23.64,0.0406,90
0,B47,B43,26.09,0.0348,14
0,B47,B46,30.65,0.0232,90
0,B47,B61,21.97,0.0187,90
0,B47,B62,25.0,0.0278,14
0,B48,B7,29.64,0.0406,7
0,B48,B17,7.82,0.0227,180
0,B48,B20,16.1,0.0456,30
0,B48,B21,44.71,0.0442,7
0,B48,B46,6.49,0.0411,7
0,B48,B47,48.24,0.013,7
0,B48,B49,49.35,0.0237,14
0,B48,B50,9.61,0.0464,30
0,B48,B53,41.44,0.0337,90
0,B49,B2,22.63,0.0324,7
0,B49,B3,28.13,0.0206,14
0,B49,B4,14.76,0.0321,14
0,B49,B5,29.2,0.0461,14
0,B49,B6,23.81,0.0102,30
0,B49,B15,13.35,0.012,180
0,B49,B17,37.8,0.0247,7
0,B49,B32,28.09,0.0156,180
0,B49,B43,44.53,0.0102,14
0,B49,B55,34.58,0.0225,180
0,B49,B62,11.69,0.028,30
0,B50,B3,27.95,0.0203,30
0,B50,B5,32.66,0.0279,180
0,B50,B7,26.43,0.0187,14
0,B50,B8,29.3,0.0417,180
0,B50,B25,20.06,0.0106,14
0,B50,B28,35.88,0.0311,90
0,B50,B29,24.58,0.0132,90
0,B50,B31,21.7,0.016,90
0,B50,B34,38.03,0.0346,90
0,B50,B58,40.57,0.0308,180
0,B50,B59,6.8,0.0332,7
0,B51,B3,49.82,0.0432,14
0,B51,B11,45.47,0.0463,14
0,B51,B13,44.21,0.0208,90
0,B51,B21,46.3,0.0405,30
0,B51,B23,24.5,0.0373,180
0,B51,B24,9.8,0.0263,180
0,B51,B28,38.34,0.0363,180
0,B51,B34,19.51,0.0157,90
0,B51,B46,48.1,0.0232,7
0,B51,B56,7.88,0.0475,180
0,B52,B1,19.73,0.0199,7
0,B52,B9,29.49,0.0466,90
0,B52,B11,40.77,0.0215,30
0,B52,B16,32.57,0.0185,30
0,B52,B26,48.66,0.0318,14
0,B52,B30,19.41,0.0309,14
0,B52,B32,40.82,0.0201,14
0,B52,B37,8.66,0.0424,7
0,B52,B40,7.62,0.0439,30
0,B52,B41,41.4,0.0439,7
0,B52,B48,23.21,0.0419,30
0,B52,B50,5.17,0.0312,90
0,B52,B51,5.36,0.0215,30
0,B52,B53,14.1,0.019,30
0,B52,B54,43.24,0.0274,30
0,B52,B58,27.15,0.0251,14
0,B52,B61,22.85,0.0126,180
0,B52,B64,19.89,0.0132,14
0,B53,B10,11.59,0.0181,30
0,B53,B12,6.24,0.0293,7
0,B53,B24,27.57,0.0315,7
0,B53,B25,35.91,0.046,14
0,B53,B26,36.25,0.0454,7
0,B53,B27,39.45,0.0327,7
0,B53,B35,45.47,0.0263,90
0,B53,B39,36.38,0.0393,7
0,B53,B41,19.1,0.0319,180
0,B53,B47,8.31,0.0231,14
0,B53,B56,49.39,0.0172,180
0,B53,B61,44.31,0.0347,14
0,B53,B62,11.89,0.0147,180
0,B54,B2,11.76,0.0238,7
0,B54,B4,19.05,0.0473,7
0,B54,B8,25.71,0.0229,90
0,B54,B23,8.71,0.0481,14
0,B54,B29,33.01,0.0227,180
0,B54,B36,24.42,0.0269,7
0,B54,B38,9.54,0.0148,90
0,B54,B44,25.18,0.0239,30
0,B54,B45,32.86,0.038,90
0,B54,B50,20.86,0.028,90
0,B54,B53,6.67,0.0157,30
0,B54,B56,25.79,0.0176,90
0,B54,B63,30.37,0.0121,7
0,B55,B9,17.8,0.0244,180
0,B55,B10,28.42,0.0168,7
0,B55,B13,13.61,0.0337,90
0,B55,B30,49.81,0.0416,30
0,B55,B36,35.72,0.0461,7
0,B55,B37,11.37,0.0166,14
0,B55,B38,33.33,0.0406,90
0,B55,B48,35.78,0.0191,180
0,B56,B9,7.27,0.0285,180
0,B56,B15,10.79,0.0409,14
0,B56,B25,45.79,0.0417,7
0,B56,B28,35.05,0.0351,90
0,B56,B33,45.9,0.0159,30
0,B56,B35,40.5,0.033,7
0,B56,B36,47.33,0.0245,7
0,B56,B39,44.2,0.0317,14
0,B56,B41,22.42,0.0333,180
0,B56,B42,8.16,0.0311,90
0,B56,B48,31.55,0.0384,180
0,B56,B50,20.28,0.023,180
0,B56,B51,46.65,0.0102,180
0,B56,B53,41.71,0.0199,90
0,B56,B60,9.12,0.0232,30
0,B57,B1,29.62,0.0416,30
0,B57,B4,49.25,0.0316,7
0,B57,B9,40.08,0.0283,7
0,B57,B20,9.33,0.02,14
0,B57,B22,15.57,0.0467,180
0,B57,B26,16.21,0.0188,90
0,B57,B33,7.56,0.0198,30
0,B57,B46,37.36,0.0414,14
0,B57,B48,10.38,0.0125,90
0,B57,B54,15.88,0.0427,7
0,B58,B6,34.54,0.0121,90
0,B58,B10,18.62,0.0263,7
0,B58,B20,47.15,0.013,14
0,B58,B21,35.6,0.0198,90
0,B58,B29,27.34,0.0212,14
0,B58,B30,19.26,0.0286,7
0,B58,B32,5.64,0.0248,90
0,B58,B37,6.41,0.022,7
0,B58,B39,26.94,0.035,7
0,B58,B42,10.69,0.0291,30
0,B58,B46,31.78,0.0354,14
0,B58,B51,33.09,0.0499,14
0,B58,B53,49.92,0.0233,30
0,B58,B61,34.67,0.0224,180
0,B58,B64,36.83,0.0209,7
0,B59,B0,40.23,0.0178,30
0,B59,B5,33.56,0.0267,180
0,B59,B15,31.31,0.0258,7
0,B59,B24,38.18,0.0344,30
0,B59,B25,49.66,0.0361,90
0,B59,B35,28.25,0.022,7
0,B59,B38,45.4,0.016,14
0,B59,B47,10.96,0.0246,7
0,B59,B53,33.77,0.0389,7
0,B60,B5,41.11,0.0406,90
0,B60,B16,38.03,0.0131,30
0,B60,B17,10.34,0.0229,180
0,B60,B18,37.78,0.012,14
0,B60,B20,14.89,0.0413,90
0,B60,B46,48.63,0.016,7
0,B60,B47,43.58,0.0372,14
0,B60,B51,29.27,0.0317,7
0,B60,B61,20.27,0.0462,90
0,B61,B1,28.99,0.0432,90
0,B61,B5,15.21,0.0377,30
0,B61,B10,14.35,0.0435,180
0,B61,B11,42.96,0.0296,90
0,B61,B13,15.77,0.0318,180
0,B61,B20,16.95,0.0414,14
0,B61,B28,28.82,0.0331,90
0,B61,B30,8.34,0.0432,30
0,B61,B34,25.57,0.0203,180
0,B61,B35,17.91,0.031,90
0,B61,B42,23.79,0.0353,180
0,B61,B44,44.45,0.0205,30
0,B61,B48,45.45,0.045,30
0,B61,B51,36.6,0.0185,90
0,B61,B54,30.96,0.0129,180
0,B61,B59,40.28,0.0215,14
0,B62,B6,18.5,0.0363,14
0,B62,B35,31.7,0.0148,90
0,B62,B38,28.87,0.0106,14
0,B62,B42,34.04,0.0223,180
0,B62,B43,9.86,0.0281,30
0,B62,B53,28.55,0.0314,90
0,B62,B55,14.6,0.0293,30
0,B62,B56,30.64,0.0307,7
0,B62,B58,29.56,0.0115,180
0,B62,B60,31.42,0.018,14
0,B62,B61,32.08,0.0422,180
0,B62,B64,20.25,0.016,7
0,B63,B0,30.37,0.0338,180
0,B63,B4,32.59,0.0271,180
0,B63,B14,43.92,0.047,30
0,B63,B16,37.13,0.0154,14
0,B63,B21,29.44,0.0199,180
0,B63,B28,11.19,0.0469,7
0,B63,B36,23.26,0.0438,14
0,B63,B38,8.77,0.03,14
0,B63,B55,42.25,0.0265,180
0,B63,B56,46.64,0.0397,180
0,B63,B61,33.09,0.0346,14
0,B64,B2,45.4,0.0314,7
0,B64,B8,34.33,0.0147,30
0,B64,B20,21.81,0.0279,14
0,B64,B36,13.59,0.0395,30
0,B64,B44,37.11,0.0178,14
0,B64,B61,44.18,0.0102,90
0,B64,B63,14.01,0.0283,90
0,B65,B1,32.82,0.0464,14
0,B65,B3,23.84,0.0257,14
0,B65,B8,41.55,0.0346,7
0,B65,B14,30.61,0.0432,14
0,B65,B16,39.19,0.0168,90
0,B65,B23,29.25,0.0107,180
0,B65,B27,26.1,0.0186,180
0,B65,B28,28.34,0.0329,7
0,B65,B29,46.84,0.0255,180
0,B65,B30,15.15,0.0472,7
0,B65,B36,20.54,0.0129,14
0,B65,B48,45.82,0.0295,90
0,B65,B52,33.56,0.0142,30
0,B65,B57,22.11,0.0477,30
0,B66,B29,20.5,0.0247,14
0,B66,B43,32.94,0.0363,7
0,B66,B44,7.3,0.0107,14
0,B66,B49,20.12,0.0463,30
0,B66,B52,28.22,0.0429,7
0,B66,B58,37.08,0.0471,7
0,B66,B59,43.52,0.0408,7
0,B66,B61,37.91,0.0209,90
0,B66,B62,35.24,0.0346,180
1,B0,B8,16.29,0.0343,180
1,B0,B15,45.13,0.0488,90
1,B0,B16,20.9,0.0293,90
1,B0,B41,35.01,0.0344,7
1,B0,B48,26.1,0.0345,30
1,B0,B52,28.85,0.039,180
1,B0,B54,23.21,0.0229,90
1,B0,B61,26.44,0.049,180
1,B1,B8,23.77,0.0395,180
1,B1,B12,34.52,0.0393,90
1,B1,B21,46.01,0.029,90
1,B1,B28,40.6,0.015,7
1,B1,B44,26.49,0.0474,180
1,B1,B57,15.29,0.0131,180
1,B1,B58,49.08,0.0463,30
1,B1,B62,49.09,0.0343,30
1,B1,B65,46.03,0.0305,180
1,B2,B4,28.2,0.0402,90
1,B2,B11,26.93,0.0319,7
1,B2,B37,21.45,0.0225,14
1,B2,B46,37.38,0.0235,14
1,B2,B49,49.29,0.0254,90
1,B2,B53,27.0,0.0283,90
1,B2,B57,41.2,0.0169,180
1,B3,B13,29.85,0.0324,30
1,B3,B27,30.69,0.0169,7
1,B3,B31,36.43,0.0301,90
1,B3,B33,49.72,0.048,90
1,B3,B41,37.89,0.0207,180
1,B3,B60,36.84,0.0373,7
1,B3,B63,25.29,0.0358,7
1,B4,B1,28.5,0.016,90
1,B4,B3,42.8,0.0456,7
1,B4,B14,12.1,0.0295,180
1,B4,B15,5.4,0.0231,14
1,B4,B16,23.17,0.0195,90
1,B4,B18,49.73,0.0469,90
1,B4,B24,48.05,0.0185,7
1,B4,B28,45.71,0.0237,180
1,B4,B30,46.31,0.0251,180
1,B4,B33,36.42,0.036,30
1,B4,B38,24.55,0.0288,30
1,B4,B39,42.35,0.046,14
1,B4,B40,20.79,0.0307,180
1,B4,B46,32.87,0.019,180
1,B4,B48,9.29,0.0171,90
1,B4,B57,39.56,0.0254,7
1,B4,B63,47.68,0.0409,90
1,B4,B66,42.53,0.0391,7
1,B5,B2,46.02,0.0469,30
1,B5,B9,13.09,0.0226,180
1,B5,B13,8.02,0.0295,30
1,B5,B22,27.55,0.014,7
1,B5,B27,16.77,0.0437,90
1,B5,B32,21.21,0.0124,30
1,B5,B36,23.83,0.0299,14
